Category,Staff code,Date
Academic EXC Curious,PWGM,14/09/2016
Academic EXC General,PWGM,14/09/2016
Academic EXC General,CEA,14/09/2016
Academic EXC General,CEA,14/09/2016
Infraction,CMLK,14/09/2016
Infraction,CMLK,14/09/2016
Infraction,CMLK,14/09/2016
Infraction,CMLK,14/09/2016
Infraction,CMLK,14/09/2016
Incomplete Work,LJA,14/09/2016
Co-Curricular EXC Motivated,PSJ,14/09/2016
Co-Curricular EXC Motivated,PSJ,14/09/2016
Co-Curricular EXC Motivated,PSJ,14/09/2016
Co-Curricular EXC Motivated,PSJ,14/09/2016
Co-Curricular EXC Motivated,PSJ,14/09/2016
Academic EXC Motivated,CMLK,14/09/2016
Academic EXC Motivated,CMLK,14/09/2016
Academic EXC Motivated,MJM,14/09/2016
Incomplete Work,GSL,14/09/2016
Incomplete Work,GSL,14/09/2016
Incomplete Work,GSL,14/09/2016
Random Act of Kindness - Good College Spirit EXC,SP,14/09/2016
Academic EXC Determined,DJB,15/09/2016
Academic EXC Determined,DJB,15/09/2016
Academic EXC Determined,AWD,15/09/2016
Academic EXC Determined,AWD,15/09/2016
Academic EXC Determined,AWD,15/09/2016
Academic EXC Determined,AWD,15/09/2016
Academic EXC Determined,AWD,15/09/2016
Academic EXC Motivated,APRD,15/09/2016
Infraction,HG,15/09/2016
Infraction,HG,15/09/2016
Infraction,HG,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,AWD,15/09/2016
Academic EXC Motivated,TWE,15/09/2016
Academic EXC Curious,DRM,15/09/2016
Academic EXC Curious,DRM,15/09/2016
Academic EXC Curious,DRM,15/09/2016
Random Act of Kindness - Good College Spirit EXC,AM,15/09/2016
Academic EXC Motivated,AM,15/09/2016
Academic EXC Motivated,AM,15/09/2016
Academic EXC Independent,JHP,15/09/2016
Academic EXC Independent,JHP,15/09/2016
Academic EXC Independent,JHP,15/09/2016
Incomplete Work,YDU,15/09/2016
Academic EXC Determined,ERM,15/09/2016
Academic EXC Determined,ERM,15/09/2016
Co-Curricular EXC General,SMC,15/09/2016
Co-Curricular EXC Creative,SLK,15/09/2016
Academic EXC Motivated,SLK,15/09/2016
Academic EXC Motivated,SLK,15/09/2016
Incomplete Work,SLK,15/09/2016
Incomplete Work,SLK,15/09/2016
Incomplete Work,SLK,15/09/2016
Incomplete Work,SLK,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Incomplete Work,SP,15/09/2016
Incomplete Work,SP,15/09/2016
Incomplete Work,SP,15/09/2016
Academic EXC General,AWD,15/09/2016
Academic EXC Creative,AWD,15/09/2016
Academic EXC Motivated,PMM,15/09/2016
Academic EXC Motivated,PMM,15/09/2016
Academic EXC Motivated,PMM,15/09/2016
Academic EXC Motivated,PMM,15/09/2016
Academic EXC General,JEA,15/09/2016
Academic EXC General,JEA,15/09/2016
Academic EXC Creative,JEA,15/09/2016
Academic EXC General,JEA,15/09/2016
Academic EXC General,JEA,15/09/2016
Academic EXC Motivated,TWE,15/09/2016
Incomplete Work,APRD,15/09/2016
Incomplete Work,APRD,15/09/2016
Incomplete Work,APRD,15/09/2016
Incomplete Work,APRD,15/09/2016
Incomplete Work,APRD,15/09/2016
Incomplete Work,APRD,15/09/2016
Incomplete Work,APRD,15/09/2016
Incomplete Work,APRD,15/09/2016
Incomplete Work,APRD,15/09/2016
Incomplete Work,GSL,15/09/2016
Academic EXC Determined,KDB,15/09/2016
Academic EXC Determined,KDB,15/09/2016
Academic EXC Determined,KDB,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Creative,SP,15/09/2016
Academic EXC Curious,APRD,15/09/2016
Academic EXC Motivated,LJA,15/09/2016
Academic EXC Motivated,LJA,15/09/2016
Academic EXC General,PWGM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Incomplete Work,PWGM,15/09/2016
Academic EXC Determined,JH,15/09/2016
Academic EXC Determined,JH,15/09/2016
Academic EXC Determined,JH,15/09/2016
Academic EXC Determined,JH,15/09/2016
Academic EXC Determined,JH,15/09/2016
Academic EXC Curious,JH,15/09/2016
Academic EXC Independent,PAW,15/09/2016
Random Act of Kindness - Good College Spirit EXC,LMP,15/09/2016
Academic EXC Motivated,LERM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Academic EXC General,PWGM,15/09/2016
Infraction,CMLK,15/09/2016
