Category code,Category,Staff code,Date
EXC7IN,Academic EXC Independent,JR,13/09/2016
EXC7DE,Academic EXC Determined,JR,13/09/2016
EXC7DE,Academic EXC Determined,JR,13/09/2016
EXC7CU,Academic EXC Curious,JR,13/09/2016
EXC7CU,Academic EXC Curious,JR,13/09/2016
EXC7CU,Academic EXC Curious,JR,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7MO,Academic EXC Motivated,JKC,13/09/2016
EXC7MO,Academic EXC Motivated,JKC,13/09/2016
EXC7CD,Co-Curricular EXC Determined,AMD,13/09/2016
EXC7CM,Co-Curricular EXC Motivated,AMD,13/09/2016
EXC7CM,Co-Curricular EXC Motivated,AMD,13/09/2016
INCWOR,Incomplete Work,GSL,13/09/2016
EXC7MO,Academic EXC Motivated,JLP,14/09/2016
EXC7MO,Academic EXC Motivated,JKC,14/09/2016
INF,Infraction,JKC,14/09/2016
INF,Infraction,JKC,14/09/2016
EXCACT,Co-Curricular EXC General,SMC,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7MO,Academic EXC Motivated,PMM,14/09/2016
EXC7IN,Academic EXC Independent,PMM,14/09/2016
EXC7IN,Academic EXC Independent,PMM,14/09/2016
EXC7IN,Academic EXC Independent,PMM,14/09/2016
EXC7DE,Academic EXC Determined,JR,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7IN,Academic EXC Independent,JH,14/09/2016
EXC7RE,Academic EXC Reflective,JR,14/09/2016
EXC7RE,Academic EXC Reflective,JR,14/09/2016
EXC7RE,Academic EXC Reflective,JR,14/09/2016
EXC7DE,Academic EXC Determined,DJPS,14/09/2016
EXC7DE,Academic EXC Determined,DJPS,14/09/2016
EXC7DE,Academic EXC Determined,DJPS,14/09/2016
EXC7IN,Academic EXC Independent,DJPS,14/09/2016
EXC7IN,Academic EXC Independent,DJPS,14/09/2016
EXC7MO,Academic EXC Motivated,ECH,14/09/2016
EXC7DE,Academic EXC Determined,PWGM,14/09/2016
EXC7DE,Academic EXC Determined,PWGM,14/09/2016
EXC7DE,Academic EXC Determined,PWGM,14/09/2016
EXC7DE,Academic EXC Determined,PWGM,14/09/2016
EXC7DE,Academic EXC Determined,PWGM,14/09/2016
EXC7DE,Academic EXC Determined,PWGM,14/09/2016
EXC7OP,Academic EXC Open-minded,PWGM,14/09/2016
EXC7OP,Academic EXC Open-minded,PWGM,14/09/2016
EXC7MO,Academic EXC Motivated,GSL,14/09/2016
EXC7MO,Academic EXC Motivated,GSL,14/09/2016
EXC7MO,Academic EXC Motivated,GSL,14/09/2016
EXC7CD,Co-Curricular EXC Determined,DJPS,14/09/2016
EXC7CD,Co-Curricular EXC Determined,DJPS,14/09/2016
EXC7MO,Academic EXC Motivated,DJPS,14/09/2016
EXC7MO,Academic EXC Motivated,DJPS,14/09/2016
EXC7CD,Co-Curricular EXC Determined,DJPS,14/09/2016
EXC7CD,Co-Curricular EXC Determined,DJPS,14/09/2016
EXC7MO,Academic EXC Motivated,AWD,14/09/2016
EXC7MO,Academic EXC Motivated,AWD,14/09/2016
EXC7MO,Academic EXC Motivated,AWD,14/09/2016
EXC7MO,Academic EXC Motivated,AWD,14/09/2016
EXC7MO,Academic EXC Motivated,AWD,14/09/2016
EXC7MO,Academic EXC Motivated,AWD,14/09/2016
INF,Infraction,AWD,14/09/2016
EXC7MO,Academic EXC Motivated,AWD,14/09/2016
EXC7MO,Academic EXC Motivated,AWD,14/09/2016
EXC7DE,Academic EXC Determined,JKC,14/09/2016
